clean_image,distorted_image,method,psnr
4547604,4547601,new,28.426134
4547604,4547602,ref,35.604702
4547612,4547609,new,33.684372
4547612,4547610,ref,38.338356
4547644,4547641,new,32.58228
4547644,4547642,ref,37.898964
4547660,4547657,new,31.484776
4547660,4547658,ref,40.519047
4547680,4547677,new,32.419056
4547680,4547678,ref,40.124207
4547692,4547689,new,33.265083
4547692,4547690,ref,36.876804
4547708,4547705,new,39.85334
4547708,4547706,ref,33.39654
4547716,4547713,new,33.437862
4547716,4547714,ref,39.028564
4547720,4547717,new,32.49105
4547720,4547718,ref,39.22706
4547728,4547725,new,34.635277
4547728,4547726,ref,40.43211
4547744,4547741,new,34.870346
4547744,4547742,ref,38.118156
4547756,4547753,new,29.021847
4547756,4547754,ref,30.958956
4547772,4547769,new,41.452385
4547772,4547770,ref,34.063984
4547780,4547777,new,32.39136
4547780,4547778,ref,42.11201
4547816,4547813,new,32.703587
4547816,4547814,ref,43.672165
4547872,4547869,new,33.836376
4547872,4547870,ref,38.15148
4547928,4547925,new,36.12663
4547928,4547926,ref,33.576897
4547940,4547937,new,33.40458
4547940,4547938,ref,39.828125
4547988,4547985,new,42.988647
4547988,4547986,ref,32.678146
4548032,4548029,new,36.146065
4548032,4548030,ref,41.535603
4548044,4548041,new,42.25463
4548044,4548042,ref,34.23722
4548108,4548105,new,35.410263
4548108,4548106,ref,39.426277
4548112,4548109,new,36.034092
4548112,4548110,ref,44.58812
4548136,4548133,new,34.887123
4548136,4548134,ref,43.0142
4548164,4548161,new,33.705093
4548164,4548162,ref,38.972412
4548168,4548165,new,35.303825
4548168,4548166,ref,39.356133
4548188,4548185,new,34.278465
4548188,4548186,ref,38.5008
4548244,4548241,new,35.17092
4548244,4548242,ref,34.735626
4548268,4548265,new,38.215958
4548268,4548266,ref,31.247421
4548284,4548281,new,34.76154
4548284,4548282,ref,37.72643
4548288,4548285,new,35.965187
4548288,4548286,ref,42.7842
4548308,4548305,new,31.712511
4548308,4548306,ref,40.282253
4548340,4548337,new,40.318638
4548340,4548338,ref,33.816628
4548404,4548401,new,39.926598
4548404,4548402,ref,35.023163
4548428,4548425,new,33.628826
4548428,4548426,ref,43.757263
4548432,4548429,new,36.096397
4548432,4548430,ref,38.495678
4548440,4548437,new,37.87877
4548440,4548438,ref,41.618023
4548460,4548457,new,37.812008
4548460,4548458,ref,45.30156
4548516,4548513,new,38.53403
4548516,4548514,ref,41.75174
4548560,4548557,new,34.774555
4548560,4548558,ref,33.22864
4548568,4548565,new,35.985237
4548568,4548566,ref,40.918194
4548584,4548581,new,35.555817
4548584,4548582,ref,39.88629
4548614,4548611,new,38.713203
4548614,4548612,ref,30.621672
4548638,4548635,new,37.933758
4548638,4548636,ref,30.12833
4548658,4548655,new,38.780773
4548658,4548656,ref,31.746578
4548674,4548671,new,39.073296
4548674,4548672,ref,34.644672
4548690,4548687,new,39.08951
4548690,4548688,ref,34.790794
4548730,4548727,new,44.89828
4548730,4548728,ref,34.682953
4548746,4548743,new,39.614143
4548746,4548744,ref,33.12924
4548822,4548819,new,41.32972
4548822,4548820,ref,37.628616
4548850,4548847,new,41.857994
4548850,4548848,ref,34.184975
4548858,4548855,new,41.39906
4548858,4548856,ref,36.81061
4548882,4548879,new,38.27579
4548882,4548880,ref,46.011147
4548890,4548887,new,44.092453
4548890,4548888,ref,34.432465
4548974,4548971,new,42.641792
